P040101001,04,惣菜,0401,御飯類,040101,弁当類,198,149
P040101002,04,惣菜,0401,御飯類,040101,弁当類,218,164
P040101003,04,惣菜,0401,御飯類,040101,弁当類,230,173
P040101004,04,惣菜,0401,御飯類,040101,弁当類,248,186
P040101005,04,惣菜,0401,御飯類,040101,弁当類,268,201
P040101006,04,惣菜,0401,御飯類,040101,弁当類,298,224
P040101007,04,惣菜,0401,御飯類,040101,弁当類,338,254
P040101008,04,惣菜,0401,御飯類,040101,弁当類,420,315
P040101009,04,惣菜,0401,御飯類,040101,弁当類,498,374
P040101010,04,惣菜,0401,御飯類,040101,弁当類,580,435
P040102001,04,惣菜,0401,御飯類,040102,寿司類,268,201
P040102002,04,惣菜,0401,御飯類,040102,寿司類,268,201
P040102003,04,惣菜,0401,御飯類,040102,寿司類,278,209
P040102004,04,惣菜,0401,御飯類,040102,寿司類,318,239
P040102005,04,惣菜,0401,御飯類,040102,寿司類,318,239
P040102006,04,惣菜,0401,御飯類,040102,寿司類,318,239
P040102007,04,惣菜,0401,御飯類,040102,寿司類,338,254
P040102008,04,惣菜,0401,御飯類,040102,寿司類,358,269
P040102009,04,惣菜,0401,御飯類,040102,寿司類,358,269
P040102010,04,惣菜,0401,御飯類,040102,寿司類,358,269
P040102011,04,惣菜,0401,御飯類,040102,寿司類,358,269
P040102012,04,惣菜,0401,御飯類,040102,寿司類,358,269
P040102013,04,惣菜,0401,御飯類,040102,寿司類,398,299
P040102014,04,惣菜,0401,御飯類,040102,寿司類,398,299
P040102015,04,惣菜,0401,御飯類,040102,寿司類,398,299
P040102016,04,惣菜,0401,御飯類,040102,寿司類,398,299
P040102017,04,惣菜,0401,御飯類,040102,寿司類,438,329
P040102018,04,惣菜,0401,御飯類,040102,寿司類,498,374
P040102019,04,惣菜,0401,御飯類,040102,寿司類,598,449
P040102020,04,惣菜,0401,御飯類,040102,寿司類,980,735
P040102021,04,惣菜,0401,御飯類,040102,寿司類,1780,1335
P040102022,04,惣菜,0401,御飯類,040102,寿司類,3000,2250
P040102023,04,惣菜,0401,御飯類,040102,寿司類,5000,3750
P040102024,04,惣菜,0401,御飯類,040102,寿司類,5000,3750
P040201001,04,惣菜,0402,佃煮類,040201,魚介佃煮類,148,111
P040201002,04,惣菜,0402,佃煮類,040201,魚介佃煮類,178,134
P040201003,04,惣菜,0402,佃煮類,040201,魚介佃煮類,198,149
P040201004,04,惣菜,0402,佃煮類,040201,魚介佃煮類,248,186
P040201005,04,惣菜,0402,佃煮類,040201,魚介佃煮類,258,194
P040201006,04,惣菜,0402,佃煮類,040201,魚介佃煮類,298,224
P040202001,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202002,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202003,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202004,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202005,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202006,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202007,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202008,04,惣菜,0402,佃煮類,040202,海草佃煮類,178,134
P040202009,04,惣菜,0402,佃煮類,040202,海草佃煮類,198,149
P040202010,04,惣菜,0402,佃煮類,040202,海草佃煮類,198,149
P040202011,04,惣菜,0402,佃煮類,040202,海草佃煮類,198,149
P040202012,04,惣菜,0402,佃煮類,040202,海草佃煮類,298,224
P040203001,04,惣菜,0402,佃煮類,040203,野菜佃煮類,188,141
P040203002,04,惣菜,0402,佃煮類,040203,野菜佃煮類,428,321
P040204001,04,惣菜,0402,佃煮類,040204,豆佃煮類,158,119
P040204002,04,惣菜,0402,佃煮類,040204,豆佃煮類,188,141
P040204003,04,惣菜,0402,佃煮類,040204,豆佃煮類,188,141
P040204004,04,惣菜,0402,佃煮類,040204,豆佃煮類,188,141
P040204005,04,惣菜,0402,佃煮類,040204,豆佃煮類,198,149
P040204006,04,惣菜,0402,佃煮類,040204,豆佃煮類,198,149
P040204007,04,惣菜,0402,佃煮類,040204,豆佃煮類,198,149
P040204008,04,惣菜,0402,佃煮類,040204,豆佃煮類,198,149
P040204009,04,惣菜,0402,佃煮類,040204,豆佃煮類,398,299
P040301001,04,惣菜,0403,サラダ類,040301,サラダ類,248,186
P040301002,04,惣菜,0403,サラダ類,040301,サラダ類,248,186
P040301003,04,惣菜,0403,サラダ類,040301,サラダ類,278,209
P040301004,04,惣菜,0403,サラダ類,040301,サラダ類,298,224
